molecule count,epsilon,result
100,0.5,0
100,1,0
100,1.5,0
100,2,0
100,2.5,0
100,3,0
100,3.5,0
100,4,0
100,4.5,0
100,5,0
200,0.5,0
200,1,0
200,1.5,0
200,2,0
200,2.5,0
200,3,0
200,3.5,1
200,4,1
200,4.5,1
200,5,1
300,0.5,0
300,1,0
300,1.5,0
300,2,0
300,2.5,0
300,3,1
300,3.5,1
300,4,1
300,4.5,1
300,5,1
400,0.5,0
400,1,0
400,1.5,0
400,2,0
400,2.5,0
400,3,1
400,3.5,1
400,4,1
400,4.5,1
400,5,1
500,0.5,1
500,1,1
500,1.5,1
500,2,1
500,2.5,1
500,3,1
500,3.5,1
500,4,1
500,4.5,1
500,5,2
600,0.5,1
600,1,1
600,1.5,1
600,2,1
600,2.5,1
600,3,1
600,3.5,1
600,4,1
600,4.5,2
600,5,2
700,0.5,1
700,1,1
700,1.5,1
700,2,1
700,2.5,1
700,3,1
700,3.5,1
700,4,2
700,4.5,2
700,5,2
800,0.5,1
800,1,1
800,1.5,1
800,2,1
800,2.5,2
800,3,2
800,3.5,2
800,4,2
800,4.5,2
800,5,2
900,0.5,1
900,1,1
900,1.5,1
900,2,1
900,2.5,2
900,3,2
900,3.5,2
900,4,2
900,4.5,2
900,5,2
1000,0.5,1
1000,1,1
1000,1.5,1
1000,2,1
1000,2.5,2
1000,3,2
1000,3.5,2
1000,4,2
1000,4.5,2
1000,5,2
1100,0.5,1
1100,1,2
1100,1.5,2
1100,2,2
1100,2.5,2
1100,3,2
1100,3.5,2
1100,4,2
1100,4.5,2
1100,5,2
1200,0.5,1
1200,1,2
1200,1.5,2
1200,2,2
1200,2.5,2
1200,3,2
1200,3.5,2
1200,4,2
1200,4.5,2
1200,5,2
1300,0.5,2
1300,1,2
1300,1.5,2
1300,2,2
1300,2.5,2
1300,3,2
1300,3.5,2
1300,4,2
1300,4.5,2
1300,5,2
1400,0.5,2
1400,1,2
1400,1.5,2
1400,2,2
1400,2.5,2
1400,3,2
1400,3.5,2
1400,4,2
1400,4.5,2
1400,5,2
1500,0.5,2
1500,1,2
1500,1.5,2
1500,2,2
1500,2.5,2
1500,3,2
1500,3.5,2
1500,4,2
1500,4.5,2
1500,5,2
